y true,y pred
5.97648,2.9347975
-5.78352,4.128541
9.55187,8.27163
10.58547,12.807211
5.97648,1.7456028
0.49067,2.967565
1.97072,6.282583
14.24528,10.611319
5.97648,1.7231042
2.96412,3.862086
4.46427,7.1715517
-2.43325,3.386708
1.47603,9.257343
12.14592,13.905661
8.011519999999999,9.880852
8.52363,4.2937684
11.62443,8.114275
2.46675,8.974727
3.96288,5.791177
0.0,2.2737687
3.46283,4.3082833
5.47107,6.151286
12.14592,10.783751
12.66875,14.742723
2.46675,1.9671476
1.47603,3.483649
5.97648,7.7935953
12.66875,11.919367
2.96412,1.8370111
3.46283,4.16327
10.58547,7.802874
2.46675,5.7540784
15.303,13.277072
15.303,17.171673
12.14592,10.922686
1.97072,6.333989
11.62443,10.925921
7.50075,11.37276
7.50075,7.0361
102.125026875,87.790665
94.84827,97.52959
44.8,26.633442
29.3,32.604935
30.0,20.588663
36.59999999999999,28.897028
32.0,30.04272
-8.1,-8.137897
-15.1,-6.853708
18.0,12.005495
25.0,22.838976
41.0,37.437656
-2.8,9.931189
37.0,31.748068
50.0,42.12837
47.0,54.325
36.0,41.120766
44.0,51.90641
17.0,30.417156
21.0,25.635494
43.0,35.784084
87.0,77.009346
82.0,77.009346
18.11111111111111,15.122261
24.0,15.029866
12.0,21.136555
24.0,13.910391
33.0,31.716562
16.6,28.083344
55.77777777777778,37.90188
54.77777777777778,44.72473
33.77777777777778,28.161997
59.77777777777778,41.393085
80.77777777777777,82.04634
56.77777777777778,48.981606
67.77777777777777,58.012306
73.77777777777777,71.21178
51.77777777777778,44.8664
-6.111111111111111,6.8977137
-2.222222222222222,9.685281
20.55555555555556,11.457182
2.777777777777778,12.386355
10.0,5.682677
13.0,6.747425
12.0,8.145148
8.0,5.6169634
-3.0,5.854568
12.0,6.5617156
1.0,6.651648
9.0,8.051792
6.0,5.4193764
10.0,6.492421
7.0,15.049887
14.0,13.448212
24.0,25.558758
34.0,40.468056
61.0,62.95589
73.0,67.55971
38.76111111111111,24.004644
38.69444444444444,31.612875
49.42222222222222,39.04735
52.02222222222222,44.209812
50.12222222222223,48.124107
6.666666666666667,6.3550787
4.444444444444445,6.3550787
2.222222222222222,8.838694
12.77777777777778,15.074255
13.88888888888889,15.678421
13.0,20.396257
17.22222222222222,10.165564
18.87777777777778,16.883661
24.22222222222222,31.237736
15.0,24.549072
18.95555555555556,20.73351
27.85,21.46112
0.49067,2.0702252
3.46283,2.8639712
8.011519999999999,5.149398
2.96412,7.228057
2.96412,10.296383
16.36608,10.800284
10.068,12.837033
15.303,18.566526
6.991319999999999,2.3106937
8.52363,4.079608
5.47107,6.456214
3.46283,8.9258375
10.58547,11.362003
12.14592,14.002765
3.96288,2.0778418
9.03708,4.779509
5.97648,7.0006537
