temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,fluence_n_cm2,flux_n_cm2_sec,Product Form_0,Product Form_1,Product Form_2,Product Form_3,Product Form_4,Product Form_5,Reactor Type_0,Reactor Type_1
290.0,0.096,0.58,1.4,0.009,3.03e+18,56852467285.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
290.0,0.096,0.58,1.4,0.009,3.03e+18,56852467285.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
290.0,0.096,0.58,1.4,0.009,2.15e+19,43451913808.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
290.0,0.174,0.665,1.465,0.01,2.15e+19,43451913808.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
290.0,0.045,0.083,1.33,0.004,3.03e+18,56852467285.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
290.0,0.045,0.083,1.33,0.004,2.15e+19,43451913808.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
293.3333333,0.03,0.73,1.33,0.007,3.88e+18,106064000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
289.4444444,0.03,0.73,1.33,0.007,1.17e+19,86280131677.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
290.0,0.03,0.73,1.33,0.007,1.98e+19,80597417366.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
293.3333333,0.03,0.73,1.33,0.007,3.88e+18,106064000000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
289.4444444,0.03,0.73,1.33,0.007,1.17e+19,86280131677.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
290.0,0.03,0.73,1.33,0.007,1.98e+19,80597417366.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
293.3333333,0.04,0.67,1.44,0.015,3.88e+18,106064000000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
289.4444444,0.04,0.67,1.44,0.015,1.17e+19,86280131677.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
290.0,0.04,0.67,1.44,0.015,1.98e+19,80597417366.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
288.8888889,0.057,0.77,1.38,0.013,3.88e+18,104266000000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
288.8888889,0.057,0.77,1.38,0.013,1.15e+19,86005332031.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
288.8888889,0.057,0.77,1.38,0.013,2.07e+19,76681389493.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
288.8888889,0.057,0.77,1.38,0.013,3.88e+18,104266000000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
288.8888889,0.057,0.77,1.38,0.013,1.15e+19,86005332031.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
288.8888889,0.057,0.77,1.38,0.013,2.07e+19,76681389493.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
288.8888889,0.04,0.64,1.45,0.011,3.88e+18,104266000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
288.8888889,0.04,0.64,1.45,0.011,1.15e+19,86005332031.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
288.8888889,0.04,0.64,1.45,0.011,2.07e+19,76681389493.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
275.5555556,0.14,0.55,1.35,0.007,1.52e+17,532443312.3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
275.5555556,0.2,0.33,1.49,0.01,1.52e+17,532443312.3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
292.0,0.04,0.86,0.71,0.011,9.71e+18,163845000000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
292.0,0.04,0.86,0.71,0.011,1.36e+19,103968000000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
292.0,0.04,0.85,0.75,0.01,9.71e+18,163845000000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
292.0,0.04,0.85,0.75,0.01,1.36e+19,103968000000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
